Title,Date
"Senhor dos Céus: Temporada 3: La era","13/07/2020"
"Senhor dos Céus: Temporada 3: La lista","13/07/2020"
"Senhor dos Céus: Temporada 3: De la selva","13/07/2020"
"Senhor dos Céus: Temporada 3: El Oficial","13/07/2020"
"Senhor dos Céus: Temporada 3: Un riñón","13/07/2020"
"Senhor dos Céus: Temporada 3: Ojo por ojo","12/07/2020"
"Senhor dos Céus: Temporada 3: Bajo ataque","12/07/2020"
"Senhor dos Céus: Temporada 3: Leonor muere","12/07/2020"
"Senhor dos Céus: Temporada 3: Pago con sangre","12/07/2020"
"Senhor dos Céus: Temporada 3: Los 34","12/07/2020"
"Senhor dos Céus: Temporada 3: De una vez","12/07/2020"
"Senhor dos Céus: Temporada 3: Comprando","12/07/2020"
"Senhor dos Céus: Temporada 3: De la madriguera","12/07/2020"
"Senhor dos Céus: Temporada 3: Planes en grande","12/07/2020"
"Senhor dos Céus: Temporada 3: Lavado de dinero","12/07/2020"
"Senhor dos Céus: Temporada 3: A golpes","11/07/2020"
"Senhor dos Céus: Temporada 3: Fue su tío","11/07/2020"
"Senhor dos Céus: Temporada 3: Choque de trenes","11/07/2020"
"Senhor dos Céus: Temporada 3: La señora","11/07/2020"
"Senhor dos Céus: Temporada 3: Sin control","11/07/2020"
"Senhor dos Céus: Temporada 3: Dolor","11/07/2020"
"Senhor dos Céus: Temporada 3: Huir de la furia","11/07/2020"
"Senhor dos Céus: Temporada 3: Sorprendida","11/07/2020"
"Senhor dos Céus: Temporada 3: La tía Mónica","11/07/2020"
"Senhor dos Céus: Temporada 3: Otro whisky","11/07/2020"
"Senhor dos Céus: Temporada 3: Despedida","11/07/2020"
"Senhor dos Céus: Temporada 3: Degollada","11/07/2020"
"Senhor dos Céus: Temporada 3: Todo estalla","10/07/2020"
"Senhor dos Céus: Temporada 3: Cornudo","10/07/2020"
"Senhor dos Céus: Temporada 3: Intento","09/07/2020"
"Senhor dos Céus: Temporada 3: En sus brazos","09/07/2020"
"Senhor dos Céus: Temporada 3: Pasión","09/07/2020"
"Senhor dos Céus: Temporada 3: Entre bandidos","09/07/2020"
"Senhor dos Céus: Temporada 3: A salvo","09/07/2020"
"Senhor dos Céus: Temporada 3: Acá te espero","09/07/2020"
"Senhor dos Céus: Temporada 3: Mi papá","09/07/2020"
"Senhor dos Céus: Temporada 3: Sospechosa","09/07/2020"
"Senhor dos Céus: Temporada 3: Sana y salva","09/07/2020"
"Senhor dos Céus: Temporada 3: De nuevo","09/07/2020"
"Senhor dos Céus: Temporada 3: Belén y Aurelio","09/07/2020"
"Senhor dos Céus: Temporada 3: El Güero","09/07/2020"
"Senhor dos Céus: Temporada 3: Bajo fuego","08/07/2020"
"Senhor dos Céus: Temporada 3: Cambio de rubro","08/07/2020"
"Senhor dos Céus: Temporada 3: De tal palo...","08/07/2020"
"Senhor dos Céus: Temporada 3: Por puro placer","08/07/2020"
"Senhor dos Céus: Temporada 3: Las cuentas","08/07/2020"
"Senhor dos Céus: Temporada 3: Acercamiento","08/07/2020"
"Senhor dos Céus: Temporada 3: Socia de infarto","08/07/2020"
"Senhor dos Céus: Temporada 3: Tu calvario","08/07/2020"
"Senhor dos Céus: Temporada 3: Irresistible","08/07/2020"
"Senhor dos Céus: Temporada 3: Mi hombre","07/07/2020"
