Title,Date
"13 Reasons Why: Temporada 3: Se você está respirando, está mentindo","27/08/2019"
"13 Reasons Why: Temporada 3: Sim, eu sou a garota nova","26/08/2019"
"13 Reasons Why: Temporada 2: Adeus","25/08/2019"
"13 Reasons Why: Temporada 1: Fita 1, Lado A","25/08/2019"
"Eu, tu e ela: Temporada 1: Escolha uma opção","18/08/2019"
"Eu, tu e ela: Temporada 1: A manhã seguinte","13/08/2019"
"Eu, tu e ela: Temporada 1: Cigarros, salgadinhos e afins","13/08/2019"
"Eu, tu e ela: Temporada 1: A palavra M","12/08/2019"
"Eu, tu e ela: Temporada 1: Minha sobrinha","11/08/2019"
"Mistério no Mediterrâneo","11/08/2019"
"As Telefonistas: Temporada 4: Capítulo 32: Sorte","11/08/2019"
"As Telefonistas: Temporada 4: Capítulo 31: Felicidade","11/08/2019"
"As Telefonistas: Temporada 4: Capítulo 30: Dúvida","11/08/2019"
"Eu, tu e ela: Temporada 4: Sou o Popeye e você é meu espinafre","30/07/2019"
"Eu, tu e ela: Temporada 1: Sem penetração","30/07/2019"
"Eu, tu e ela: Temporada 1: Consegue disfarçar?","30/07/2019"
"Eu, tu e ela: Temporada 4: Quem somos e não somos","30/07/2019"
"Eu, tu e ela: Temporada 4: Coisa estúpida e eu nem estou chorando","29/07/2019"
"Eu, tu e ela: Temporada 4: No meio dessa maluquice","29/07/2019"
"Eu, tu e ela: Temporada 4: Cheiro de cabelo de ovo","29/07/2019"
"Eu, tu e ela: Temporada 4: Coma seus estranhos e não fale com legumes","29/07/2019"
"Eu, tu e ela: Temporada 4: Papai Noel montado no monstro do lago Ness rumo a Atlantis","29/07/2019"
"Eu, tu e ela: Temporada 4: O surdo guiando o cego guiando o burro","29/07/2019"
"Eu, tu e ela: Temporada 4: O show de palhaços mais triste que há","29/07/2019"
"Eu, tu e ela: Temporada 4: Difícil de encaixar","29/07/2019"
"Eu, tu e ela: Temporada 3: Episódio 10","29/07/2019"
"Eu, tu e ela: Temporada 3: Episódio 9","29/07/2019"
"Eu, tu e ela: Temporada 3: Episódio 8","29/07/2019"
"Eu, tu e ela: Temporada 3: Episódio 7","29/07/2019"
"Eu, tu e ela: Temporada 3: Episódio 6","29/07/2019"
"Eu, tu e ela: Temporada 3: Episódio 5","28/07/2019"
"Eu, tu e ela: Temporada 3: Episódio 4","28/07/2019"
"Eu, tu e ela: Temporada 3: Episódio 3","28/07/2019"
"Eu, tu e ela: Temporada 3: Episódio 2","28/07/2019"
"Eu, tu e ela: Temporada 3: Episódio 1","28/07/2019"
"Eu, tu e ela: Temporada 2: Baby, Baby, Where Did Our Love Go?","28/07/2019"
"Eu, tu e ela: Temporada 2: Vodka e otimismo","28/07/2019"
"Eu, tu e ela: Temporada 2: O vício da sedução","28/07/2019"
"Eu, tu e ela: Temporada 2: Janis doida e a barriga de aluguel branquela","28/07/2019"
"Eu, tu e ela: Temporada 2: Qual o problema com vocês, Trakarskys?","28/07/2019"
"Eu, tu e ela: Temporada 2: Sensei chapado e o segredo do amor","28/07/2019"
"Eu, tu e ela: Temporada 2: Gato na caixa","28/07/2019"
"Eu, tu e ela: Temporada 2: Lembra da Ruby?","28/07/2019"
"Eu, tu e ela: Temporada 2: Como andar naquela bicicleta","27/07/2019"
"Eu, tu e ela: Temporada 2: A fada do sexo e a chama eterna","27/07/2019"
"Eu, tu e ela: Temporada 1: Cliché romântico","27/07/2019"
"Eu, tu e ela: Temporada 1: De volta ao Colorado","27/07/2019"
"O Date Perfeito","21/04/2019"
"Coisa Mais Linda: Temporada 1: Bem-vinda ao Rio","04/04/2019"
"Megarrromântico","28/03/2019"
"Divertida Mente","18/01/2019"
"Black Mirror: Bandersnatch","14/01/2019"
"Batalhas","14/01/2019"
"Mogli - Entre Dois Mundos","06/01/2019"
"Lucifer: Temporada 3: Era uma vez","06/01/2019"
"Lucifer: Temporada 3: Grande coisa, normal","06/01/2019"
"Mais Forte que o Mundo - A História de José Aldo","05/01/2019"
"Bird Box","26/12/2018"
"Para Todos os Garotos que Já Amei","12/09/2018"
"Eu Não Sou um Homem Fácil","23/05/2018"
"O Quarto de Jack","19/04/2018"
"Shadowhunters: The Mortal Instruments: Temporada 1: Cálice letal","04/04/2018"
"O menino do pijama listrado","30/03/2018"
"As Telefonistas: Temporada 1: Capítulo 2: As memórias","08/03/2018"
"As Telefonistas: Temporada 1: Capítulo 1: Os sonhos","08/03/2018"
"Malévola","07/03/2018"
"Gad Elmaleh: American Dream","06/03/2018"
"O Melhor de Mim","23/02/2018"
"Breaking Bad: Temporada 1: Piloto","23/02/2018"
