Title,Date
"Limitless: Temporada 1: A lenda de Marco Ramos","27/03/2020"
"Limitless: Temporada 1: Distintivo! Arma!","27/03/2020"
"Limitless: Temporada 1: Piloto","27/03/2020"
"Modo Avião","27/03/2020"
"Drácula: Temporada 1: Bússola sombria","25/03/2020"
"Drácula: Temporada 1: As regras das trevas","25/03/2020"
"Elite: Temporada 3: Ander","23/03/2020"
"As Telefonistas: Temporada final: Parte 1: Capítulo 37: Insanidade","19/03/2020"
"As Telefonistas: Temporada final: Parte 1: Capítulo 36: Controle","19/03/2020"
"As Telefonistas: Temporada final: Parte 1: Capítulo 35: Coragem","19/03/2020"
"Elite: Temporada 3: Lu","16/03/2020"
"Elite: Temporada 3: Cayetana e Valerio","16/03/2020"
"Elite: Temporada 3: Samuel e Guzmán","16/03/2020"
"Sempre Bruxa: Temporada 1: Um salto no tempo","04/03/2020"
"Ragnarok: Temporada 1: Sim, amamos este país","27/02/2020"
"Ragnarok: Temporada 1: Número atômico 48","26/02/2020"
"Ragnarok: Temporada 1: Ginnungagap","26/02/2020"
"Ragnarok: Temporada 1: Jutulheim","26/02/2020"
"Ragnarok: Temporada 1: 541 metros","26/02/2020"
"Ragnarok: Temporada 1: Novato","26/02/2020"
"Para Todos os Garotos que Já Amei","15/02/2020"
"Para todos os garotos: P.S. ainda amo você","15/02/2020"
"Lucifer: Temporada 1: Piloto","15/02/2020"
"The Witcher: Temporada 1: Muito mais","21/01/2020"
"The Witcher: Temporada 1: Antes da queda","21/01/2020"
"The Witcher: Temporada 1: Espécies raras","20/01/2020"
"The Witcher: Temporada 1: Desejos reprimidos","20/01/2020"
"The Witcher: Temporada 1: Banquetes, bastardos e funerais","19/01/2020"
"The Witcher: Temporada 1: Lua da traição","16/01/2020"
"The Witcher: Temporada 1: Apenas quatro","14/01/2020"
"The Witcher: Temporada 1: O começo do fim","14/01/2020"
